,WHO report date,Total Cases,Total Deaths
0,13/04/2016,3814,2544
1,30/03/2016,3811,2543
2,23/03/2016,3809,2540
3,03/03/2016,3804,2536
4,17/02/2016,3804,2536
5,10/02/2016,3804,2536
6,03/02/2016,3804,2536
7,27/01/2016,3804,2536
8,20/01/2016,3804,2536
9,13/01/2016,3804,2536
10,06/01/2016,3804,2536
11,30/12/2015,3804,2536
12,29/12/2015,3804,2536
13,28/12/2015,3804,2536
14,25/12/2015,3805,2536
15,24/12/2015,3804,2536
16,23/12/2015,3804,2536
17,22/12/2015,3804,2536
18,21/12/2015,3804,2536
19,18/12/2015,3804,2536
20,17/12/2015,3805,2536
21,16/12/2015,3807,2536
22,15/12/2015,3807,2536
23,14/12/2015,3806,2536
24,11/12/2015,3804,2536
25,10/12/2015,3804,2536
26,09/12/2015,3804,2536
27,08/12/2015,3804,2536
28,07/12/2015,3804,2536
29,04/12/2015,3805,2536
30,03/12/2015,3805,2536
31,02/12/2015,3804,2536
32,01/12/2015,3804,2536
33,30/11/2015,3804,2536
34,27/11/2015,3804,2536
35,26/11/2015,3804,2536
36,25/11/2015,3804,2536
37,24/11/2015,3804,2536
38,23/11/2015,3804,2536
39,20/11/2015,3804,2536
40,19/11/2015,3806,2536
41,18/11/2015,3804,2536
42,17/11/2015,3804,2536
43,16/11/2015,3805,2536
44,12/11/2015,3805,2536
45,10/11/2015,3805,2536
46,09/11/2015,3806,2536
47,06/11/2015,3805,2536
48,05/11/2015,3805,2536
49,03/11/2015,3810,2536
50,02/11/2015,3808,2536
51,30/10/2015,3808,2536
52,29/10/2015,3808,2536
53,27/10/2015,3806,2535
54,26/10/2015,3804,2535
55,23/10/2015,3801,2535
56,22/10/2015,3801,2535
57,20/10/2015,3803,2535
58,19/10/2015,3806,2535
59,16/10/2015,3804,2535
60,15/10/2015,3802,2534
61,13/10/2015,3800,2534
62,12/10/2015,3798,2534
63,09/10/2015,3800,2534
64,08/10/2015,3799,2534
65,07/10/2015,3804,2534
66,05/10/2015,3804,2534
67,02/10/2015,3809,2533
68,01/10/2015,3808,2533
69,29/09/2015,3805,2533
70,28/09/2015,3805,2533
71,24/09/2015,3801,2533
72,22/09/2015,3800,2532
73,21/09/2015,3797,2532
74,18/09/2015,3794,2531
75,17/09/2015,3794,2530
76,15/09/2015,3792,2530
77,14/09/2015,3793,2530
78,11/09/2015,3791,2530
79,10/09/2015,3791,2530
80,08/09/2015,3792,2530
81,04/09/2015,3792,2529
82,03/09/2015,3792,2529
83,01/09/2015,3792,2529
84,31/08/2015,3790,2528
85,28/08/2015,3797,2528
86,27/08/2015,3797,2528
87,25/08/2015,3792,2527
88,24/08/2015,3790,2527
89,21/08/2015,3795,2526
90,20/08/2015,3792,2526
91,18/08/2015,3786,2524
92,17/08/2015,3790,2524
93,14/08/2015,3791,2524
94,13/08/2015,3792,2524
95,11/08/2015,3787,2524
96,10/08/2015,3791,2524
97,07/08/2015,3795,2524
98,06/08/2015,3792,2524
99,05/08/2015,3784,2522
100,04/08/2015,3784,2522
101,03/08/2015,3786,2522
102,31/07/2015,3781,2521
103,30/07/2015,3785,2521
104,29/07/2015,3786,2520
105,28/07/2015,3786,2520
106,27/07/2015,3792,2519
107,24/07/2015,3787,2517
108,23/07/2015,3788,2516
109,22/07/2015,3783,2512
110,21/07/2015,3783,2512
111,20/07/2015,3784,2511
112,17/07/2015,3770,2509
113,16/07/2015,3762,2506
114,15/07/2015,3760,2506
115,14/07/2015,3760,2506
116,13/07/2015,3754,2506
117,10/07/2015,3751,2505
118,09/07/2015,3744,2505
119,08/07/2015,3748,2499
120,05/07/2015,3748,2499
121,04/07/2015,3744,2492
122,03/07/2015,3750,2492
123,30/06/2015,3745,2490
124,30/06/2015,3729,2482
125,29/06/2015,3724,2482
126,24/06/2015,3720,2480
127,23/06/2015,3718,2480
128,21/06/2015,3718,2473
129,17/06/2015,3674,2446
130,16/06/2015,3675,2445
131,14/06/2015,3678,2444
132,13/06/2015,3677,2443
133,10/06/2015,3677,2440
134,09/06/2015,3674,2440
135,07/06/2015,3670,2437
136,06/06/2015,3669,2435
137,05/06/2015,3664,2431
138,04/06/2015,3657,2431
139,31/05/2015,3652,2429
140,30/05/2015,3653,2428
141,27/05/2015,3644,2425
142,26/05/2015,3639,2423
143,24/05/2015,3641,2420
144,20/05/2015,3647,2412
145,19/05/2015,3649,2409
146,16/05/2015,3626,2405
147,13/05/2015,3619,2401
148,12/05/2015,3615,2399
149,10/05/2015,3597,2392
150,09/05/2015,3599,2391
151,06/05/2015,3592,2387
152,05/05/2015,3592,2387
153,03/05/2015,3589,2386
154,03/05/2015,3589,2386
155,02/05/2015,3591,2385
156,29/04/2015,3578,2383
157,28/04/2015,3581,2381
158,26/04/2015,3584,2377
159,24/04/2015,3585,2374
160,22/04/2015,3576,2365
161,21/04/2015,3568,2362
162,19/04/2015,3565,2358
163,19/04/2015,3565,2358
164,18/04/2015,3565,2357
165,17/04/2015,3569,2351
166,16/04/2015,3566,2348
167,15/04/2015,3548,2346
168,14/04/2015,3548,2346
169,13/04/2015,3541,2342
170,10/04/2015,3524,2337
171,09/04/2015,3515,2335
172,08/04/2015,3515,2333
173,07/04/2015,3515,2333
174,02/04/2015,3494,2320
175,01/04/2015,3492,2314
176,31/03/2015,3492,2314
177,30/03/2015,3485,2305
178,27/03/2015,3466,2276
179,26/03/2015,3459,2273
180,25/03/2015,3429,2263
181,18/03/2015,3389,2224
182,11/03/2015,3285,2170
183,04/03/2015,3219,2129
184,25/02/2015,3155,2091
185,18/02/2015,3108,2057
186,11/02/2015,3044,1995
187,04/02/2015,2975,1944
188,28/01/2015,2917,1910
189,21/01/2015,2871,1876
190,14/01/2015,2806,1814
191,07/01/2015,2775,1781
192,31/12/2014,2707,1708
193,24/12/2014,2597,1607
194,17/12/2014,2416,1525
195,10/12/2014,2292,1428
196,03/12/2014,2164,1327
197,28/11/2014,2155,1312
198,26/11/2014,2134,1260
199,21/11/2014,2047,1214
200,19/11/2014,1971,1192
201,14/11/2014,1919,1166
202,12/11/2014,1878,1142
203,07/11/2014,1760,1054
204,05/11/2014,1731,1041
205,31/10/2014,1667,1018
206,29/10/2014,1906,997
207,25/10/2014,1553,926
208,22/10/2014,1540,904
209,17/10/2014,1519,862
210,15/10/2014,1472,843
211,10/10/2014,1350,778
212,08/10/2014,1298,768
213,03/10/2014,1199,739
214,01/10/2014,1157,710
215,26/09/2014,1074,648
216,24/09/2014,1022,635
217,22/09/2014,1008,632
218,18/09/2014,942,601
219,16/09/2014,936,595
220,12/09/2014,861,557
221,08/09/2014,862,555
222,06/09/2014,812,517
223,28/08/2014,648,430
224,22/08/2014,607,406
225,21/08/2014,579,396
226,19/08/2014,543,394
227,15/08/2014,519,380
228,13/08/2014,510,377
229,12/08/2014,506,373
230,08/08/2014,495,367
231,04/08/2014,485,358
232,03/08/2014,472,346
233,31/07/2014,460,339
234,28/07/2014,427,319
235,24/07/2014,415,314
236,21/07/2014,410,310
237,16/07/2014,406,304
238,14/07/2014,409,309
239,08/07/2014,408,307
240,07/07/2014,412,305
241,02/07/2014,413,303
242,24/06/2014,390,270
243,18/06/2014,398,264
244,11/06/2014,376,241
245,10/06/2014,372,236
246,05/06/2014,344,215
247,02/06/2014,291,193
248,28/05/2014,281,186
249,27/05/2014,258,174
250,23/05/2014,258,174
251,14/05/2014,233,157
252,05/05/2014,231,155
253,30/04/2014,221,146
254,23/04/2014,208,136
255,21/04/2014,203,129
256,17/04/2014,197,122
257,10/04/2014,157,101
258,07/04/2014,151,95
259,02/04/2014,127,83
260,01/04/2014,122,80
261,31/03/2014,112,70
262,27/03/2014,103,66
263,26/03/2014,86,60
264,25/03/2014,86,59
