,WHO report date,Total Cases,Total Deaths
0,13/04/2016,10678,4810
1,30/03/2016,10675,4809
2,23/03/2016,10675,4809
3,03/03/2016,10675,4809
4,17/02/2016,10675,4809
5,10/02/2016,10675,4809
6,03/02/2016,10675,4809
7,27/01/2016,10675,4809
8,20/01/2016,10675,4809
9,13/01/2016,10675,4809
10,06/01/2016,10675,4809
11,30/12/2015,10675,4809
12,29/12/2015,10675,4809
13,28/12/2015,10675,4809
14,25/12/2015,10675,4809
15,24/12/2015,10675,4809
16,23/12/2015,10675,4809
17,22/12/2015,10675,4809
18,21/12/2015,10675,4809
19,18/12/2015,10675,4809
20,17/12/2015,10675,4809
21,16/12/2015,10675,4809
22,15/12/2015,10675,4809
23,14/12/2015,10675,4809
24,11/12/2015,10675,4809
25,10/12/2015,10675,4809
26,09/12/2015,10675,4809
27,08/12/2015,10675,4809
28,07/12/2015,10675,4809
29,04/12/2015,10675,4809
30,03/12/2015,10675,4809
31,02/12/2015,10675,4809
32,01/12/2015,10675,4808
33,30/11/2015,10675,4808
34,27/11/2015,10675,4808
35,26/11/2015,10675,4808
36,25/11/2015,10675,4808
37,24/11/2015,10672,4808
38,23/11/2015,10672,4808
39,20/11/2015,10672,4808
40,19/11/2015,10672,4808
41,18/11/2015,10672,4808
42,17/11/2015,10672,4808
43,16/11/2015,10672,4808
44,12/11/2015,10672,4808
45,10/11/2015,10672,4808
46,09/11/2015,10672,4808
47,06/11/2015,10672,4808
48,05/11/2015,10672,4808
49,03/11/2015,10672,4808
50,02/11/2015,10672,4808
51,30/10/2015,10672,4808
52,29/10/2015,10672,4808
53,27/10/2015,10672,4808
54,26/10/2015,10672,4808
55,23/10/2015,10672,4808
56,22/10/2015,10672,4808
57,20/10/2015,10672,4808
58,19/10/2015,10672,4808
59,16/10/2015,10672,4808
60,15/10/2015,10672,4808
61,13/10/2015,10672,4808
62,12/10/2015,10672,4808
63,09/10/2015,10672,4808
64,08/10/2015,10672,4808
65,07/10/2015,10672,4808
66,05/10/2015,10672,4808
67,02/10/2015,10672,4808
68,01/10/2015,10672,4808
69,29/09/2015,10672,4808
70,28/09/2015,10672,4808
71,24/09/2015,10672,4808
72,22/09/2015,10672,4808
73,21/09/2015,10672,4808
74,18/09/2015,10672,4808
75,17/09/2015,10672,4808
76,15/09/2015,10672,4808
77,14/09/2015,10672,4808
78,11/09/2015,10672,4808
79,10/09/2015,10672,4808
80,08/09/2015,10672,4808
81,04/09/2015,10672,4808
82,03/09/2015,10672,4808
83,01/09/2015,10672,4808
84,31/08/2015,10672,4808
85,28/08/2015,10672,4808
86,27/08/2015,10672,4808
87,25/08/2015,10672,4808
88,24/08/2015,10672,4808
89,21/08/2015,10672,4808
90,20/08/2015,10672,4808
91,18/08/2015,10672,4808
92,17/08/2015,10672,4808
93,14/08/2015,10672,4808
94,13/08/2015,10672,4808
95,11/08/2015,10672,4808
96,10/08/2015,10672,4808
97,07/08/2015,10672,4808
98,06/08/2015,10672,4808
99,05/08/2015,10672,4808
100,04/08/2015,10672,4808
101,03/08/2015,10672,4808
102,31/07/2015,10672,4808
103,30/07/2015,10672,4808
104,29/07/2015,10672,4808
105,28/07/2015,10673,4808
106,27/07/2015,10673,4808
107,24/07/2015,10673,4808
108,23/07/2015,10673,4808
109,22/07/2015,10672,4808
110,21/07/2015,10673,4808
111,20/07/2015,10673,4808
112,17/07/2015,10673,4808
113,16/07/2015,10672,4808
114,15/07/2015,10673,4808
115,14/07/2015,10673,4808
116,13/07/2015,10672,4807
117,10/07/2015,10672,4807
118,09/07/2015,10672,4807
119,08/07/2015,10670,4807
120,05/07/2015,10670,4807
121,04/07/2015,10670,4807
122,03/07/2015,10706,4811
123,30/06/2015,10666,4806
124,30/06/2015,10666,4806
125,29/06/2015,10666,4806
126,24/06/2015,10666,4806
127,23/06/2015,10666,4806
128,21/06/2015,10666,4806
129,17/06/2015,10666,4806
130,16/06/2015,10666,4806
131,14/06/2015,10666,4806
132,13/06/2015,10666,4806
133,10/06/2015,10666,4806
134,09/06/2015,10666,4806
135,07/06/2015,10666,4806
136,06/06/2015,10666,4806
137,05/06/2015,10666,4806
138,04/06/2015,10666,4806
139,31/05/2015,10666,4806
140,30/05/2015,10666,4806
141,27/05/2015,10666,4806
142,26/05/2015,10666,4806
143,24/05/2015,10666,4806
144,20/05/2015,10666,4806
145,19/05/2015,10666,4806
146,16/05/2015,10666,4806
147,13/05/2015,10604,4769
148,12/05/2015,10604,4769
149,10/05/2015,10604,4769
150,09/05/2015,10604,4769
151,06/05/2015,10564,4716
152,05/05/2015,10564,4716
153,03/05/2015,10564,4716
154,03/05/2015,10507,4691
155,02/05/2015,10322,4608
156,29/04/2015,10322,4608
157,28/04/2015,10322,4608
158,26/04/2015,10322,4608
159,24/04/2015,10212,4573
160,22/04/2015,10212,4573
161,21/04/2015,10212,4573
162,19/04/2015,10212,4573
163,19/04/2015,10042,4486
164,18/04/2015,10042,4486
165,17/04/2015,10042,4486
166,16/04/2015,10042,4486
167,15/04/2015,10042,4486
168,14/04/2015,9862,4408
169,13/04/2015,9862,4408
170,10/04/2015,9862,4408
171,09/04/2015,9862,4408
172,08/04/2015,9862,4408
173,07/04/2015,9862,4408
174,02/04/2015,9712,4332
175,01/04/2015,9712,4332
176,31/03/2015,9712,4332
177,30/03/2015,9602,4301
178,27/03/2015,9602,4301
179,26/03/2015,9602,4301
180,25/03/2015,9602,4301
181,18/03/2015,9526,4264
182,11/03/2015,9343,4162
183,04/03/2015,9249,4117
184,25/02/2015,9238,4037
185,18/02/2015,9007,3900
186,11/02/2015,8881,3826
187,04/02/2015,8745,3746
188,28/01/2015,8622,3686
189,21/01/2015,8478,3605
190,14/01/2015,8331,3538
191,07/01/2015,8157,3496
192,31/12/2014,8018,3423
193,24/12/2014,7862,3384
194,17/12/2014,7797,3290
195,10/12/2014,7719,3177
196,03/12/2014,7635,3145
197,28/11/2014,7635,3145
198,26/11/2014,7168,3016
199,21/11/2014,7082,2963
200,19/11/2014,7069,2964
201,14/11/2014,6878,2812
202,12/11/2014,6822,2836
203,07/11/2014,6619,2766
204,05/11/2014,6525,2697
205,31/10/2014,6535,2413
206,29/10/2014,6535,2413
207,25/10/2014,4665,2705
208,22/10/2014,4665,2705
209,17/10/2014,4262,2484
210,15/10/2014,4249,2458
211,10/10/2014,4076,2316
212,08/10/2014,3924,2210
213,03/10/2014,3834,2069
214,01/10/2014,3696,1998
215,26/09/2014,3458,1830
216,24/09/2014,3280,1677
217,22/09/2014,3022,1578
218,18/09/2014,2710,1459
219,16/09/2014,2407,1296
220,12/09/2014,2081,1137
221,08/09/2014,2046,1224
222,06/09/2014,1871,1089
223,28/08/2014,1378,694
224,22/08/2014,1082,624
225,21/08/2014,972,576
226,19/08/2014,834,466
227,15/08/2014,786,348
228,13/08/2014,670,355
229,12/08/2014,599,323
230,08/08/2014,554,294
231,04/08/2014,486,255
232,03/08/2014,391,227
233,31/07/2014,329,156
234,28/07/2014,249,129
235,24/07/2014,224,127
236,21/07/2014,196,116
237,16/07/2014,172,105
238,14/07/2014,142,88
239,08/07/2014,131,84
240,07/07/2014,115,75
241,02/07/2014,107,65
242,24/06/2014,51,34
243,18/06/2014,33,24
244,11/06/2014,15,10
245,10/06/2014,15,10
246,05/06/2014,13,9
247,02/06/2014,13,9
248,28/05/2014,12,9
249,27/05/2014,12,9
250,23/05/2014,12,9
251,14/05/2014,12,11
252,05/05/2014,13,11
253,30/04/2014,13,11
254,23/04/2014,34,11
255,21/04/2014,27,13
256,17/04/2014,27,13
257,10/04/2014,22,14
258,07/04/2014,18,7
259,02/04/2014,8,5
260,01/04/2014,8,2
261,31/03/2014,8,6
262,27/03/2014,8,6
263,26/03/2014,0,0
264,25/03/2014,0,0
