,WHO report date,Total Cases,Total Deaths
0,13/04/2016,14124,3956
1,30/03/2016,14124,3956
2,23/03/2016,14124,3956
3,03/03/2016,14124,3956
4,17/02/2016,14124,3956
5,10/02/2016,14124,3956
6,03/02/2016,14124,3956
7,27/01/2016,14124,3956
8,20/01/2016,14123,3956
9,13/01/2016,14122,3955
10,06/01/2016,14122,3955
11,30/12/2015,14122,3955
12,29/12/2015,14122,3955
13,28/12/2015,14122,3955
14,25/12/2015,14122,3955
15,24/12/2015,14122,3955
16,23/12/2015,14122,3955
17,22/12/2015,14122,3955
18,21/12/2015,14122,3955
19,18/12/2015,14122,3955
20,17/12/2015,14122,3955
21,16/12/2015,14122,3955
22,15/12/2015,14122,3955
23,14/12/2015,14122,3955
24,11/12/2015,14122,3955
25,10/12/2015,14122,3955
26,09/12/2015,14122,3955
27,08/12/2015,14122,3955
28,07/12/2015,14122,3955
29,04/12/2015,14122,3955
30,03/12/2015,14122,3955
31,02/12/2015,14122,3955
32,01/12/2015,14122,3955
33,30/11/2015,14122,3955
34,27/11/2015,14122,3955
35,26/11/2015,14122,3955
36,25/11/2015,14122,3955
37,24/11/2015,14122,3955
38,23/11/2015,14122,3955
39,20/11/2015,14122,3955
40,19/11/2015,14122,3955
41,18/11/2015,14122,3955
42,17/11/2015,14122,3955
43,16/11/2015,14122,3955
44,12/11/2015,14122,3955
45,10/11/2015,14122,3955
46,09/11/2015,14122,3955
47,06/11/2015,14109,3955
48,05/11/2015,14104,3955
49,03/11/2015,14089,3955
50,02/11/2015,14078,3955
51,30/10/2015,14067,3955
52,29/10/2015,14066,3955
53,27/10/2015,14061,3955
54,26/10/2015,14052,3955
55,23/10/2015,14038,3955
56,22/10/2015,14031,3955
57,20/10/2015,14001,3955
58,19/10/2015,13999,3955
59,16/10/2015,13992,3955
60,15/10/2015,13992,3955
61,13/10/2015,13982,3955
62,12/10/2015,13978,3955
63,09/10/2015,13957,3955
64,08/10/2015,13956,3955
65,07/10/2015,13945,3955
66,05/10/2015,13941,3955
67,02/10/2015,13931,3955
68,01/10/2015,13928,3955
69,29/09/2015,13911,3955
70,28/09/2015,13894,3955
71,24/09/2015,13846,3955
72,22/09/2015,13823,3955
73,21/09/2015,13811,3955
74,18/09/2015,13785,3955
75,17/09/2015,13573,3955
76,15/09/2015,13756,3953
77,14/09/2015,13747,3953
78,11/09/2015,13701,3953
79,10/09/2015,13697,3953
80,08/09/2015,13683,3953
81,04/09/2015,13639,3953
82,03/09/2015,13638,3953
83,01/09/2015,13609,3953
84,31/08/2015,13603,3953
85,28/08/2015,13586,3952
86,27/08/2015,13582,3952
87,25/08/2015,13541,3952
88,24/08/2015,13538,3952
89,21/08/2015,13533,3952
90,20/08/2015,13518,3952
91,18/08/2015,13494,3952
92,17/08/2015,13489,3952
93,14/08/2015,13485,3952
94,13/08/2015,13484,3951
95,11/08/2015,13470,3951
96,10/08/2015,13465,3951
97,07/08/2015,13428,3951
98,06/08/2015,13426,3951
99,05/08/2015,13406,3951
100,04/08/2015,13406,3951
101,03/08/2015,13402,3951
102,31/07/2015,13387,3951
103,30/07/2015,13379,3951
104,29/07/2015,13290,3951
105,28/07/2015,13291,3951
106,27/07/2015,13284,3951
107,24/07/2015,13264,3949
108,23/07/2015,13262,3949
109,22/07/2015,13250,3949
110,21/07/2015,13250,3949
111,20/07/2015,13241,3949
112,17/07/2015,13209,3947
113,16/07/2015,13209,3947
114,15/07/2015,13209,3947
115,14/07/2015,13209,3947
116,13/07/2015,13201,3946
117,10/07/2015,13177,3941
118,09/07/2015,13169,3941
119,08/07/2015,13155,3940
120,05/07/2015,13155,3940
121,04/07/2015,13150,3940
122,03/07/2015,13135,3935
123,30/06/2015,13129,3933
124,30/06/2015,13119,3932
125,29/06/2015,13115,3932
126,24/06/2015,13093,3931
127,23/06/2015,13083,3931
128,21/06/2015,13059,3928
129,17/06/2015,13012,3926
130,16/06/2015,12990,3922
131,14/06/2015,12965,3919
132,13/06/2015,12962,3919
133,10/06/2015,12932,3917
134,09/06/2015,12911,3917
135,07/06/2015,12901,3915
136,06/06/2015,12884,3913
