WHO report date,"Total Cases, Guinea","Total Deaths, Guinea","Total Cases, Liberia","Total Deaths, Liberia","Total Cases, Sierra Leone","Total Deaths, Sierra Leone",Total Cases,Total Deaths
13/04/2016,3814,2544,10678,4810,14124,3956,28616,11310
30/03/2016,3811,2543,10675,4809,14124,3956,28610,11308
23/03/2016,3809,2540,10675,4809,14124,3956,28608,11305
03/03/2016,3804,2536,10675,4809,14124,3956,28603,11301
17/02/2016,3804,2536,10675,4809,14124,3956,28603,11301
10/02/2016,3804,2536,10675,4809,14124,3956,28603,11301
03/02/2016,3804,2536,10675,4809,14124,3956,28603,11301
27/01/2016,3804,2536,10675,4809,14124,3956,28603,11301
20/01/2016,3804,2536,10675,4809,14123,3956,28602,11301
13/01/2016,3804,2536,10675,4809,14122,3955,28601,11300
06/01/2016,3804,2536,10675,4809,14122,3955,28601,11300
30/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
29/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
28/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
25/12/2015,3805,2536,10675,4809,14122,3955,28602,11300
24/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
23/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
22/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
21/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
18/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
17/12/2015,3805,2536,10675,4809,14122,3955,28602,11300
16/12/2015,3807,2536,10675,4809,14122,3955,28604,11300
15/12/2015,3807,2536,10675,4809,14122,3955,28604,11300
14/12/2015,3806,2536,10675,4809,14122,3955,28603,11300
11/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
10/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
09/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
08/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
07/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
04/12/2015,3805,2536,10675,4809,14122,3955,28602,11300
03/12/2015,3805,2536,10675,4809,14122,3955,28602,11300
02/12/2015,3804,2536,10675,4809,14122,3955,28601,11300
01/12/2015,3804,2536,10675,4808,14122,3955,28601,11299
30/11/2015,3804,2536,10675,4808,14122,3955,28601,11299
27/11/2015,3804,2536,10675,4808,14122,3955,28601,11299
26/11/2015,3804,2536,10675,4808,14122,3955,28601,11299
25/11/2015,3804,2536,10675,4808,14122,3955,28601,11299
